id;title;url;priority;level;content_type;frequency;tech_notes;status
max.ru;MAX — официальный сайт;https://max.ru/;high;1;Официальная страница продукта MAX: анонсы и ключевые изменения;По факту обновлений;"Статическая страница; полезно для фиксации изменений в описании/ссылках";✅ Активен
business.max.ru;MAX для бизнеса — официальный портал;https://business.max.ru/;high;1;Новости/обновления для бизнеса, интеграции, правила использования;Ежедневно / по событию;"На сайте есть ссылка на официальный канал «тренды, новости и обновления» (внутри MAX); также полезно мониторить пресс-релизы VK про MAX для бизнеса";✅ Активен
MAX: канал MAX для бизнеса (внутри MAX);MAX — официальный канал «MAX для бизнеса» (внутри приложения);https://max.ru/max_business;high;1;Официальный канал внутри MAX: тренды, новости и обновления для бизнеса;По публикациям;"Это ссылка на канал внутри экосистемы MAX; содержимое может быть доступно только в приложении";✅ Активен
download.max.ru;MAX — официальный раздел скачивания;https://download.max.ru/;high;1;Официальные ссылки на версии приложения и связанные ресурсы;По факту обновлений;Полезно как «указатель» на официальные каналы, документацию и изменения на посадочной странице;✅ Активен
dev.max.ru;MAX для разработчиков — официальный портал;https://dev.max.ru/;high;1;Официальная документация и инструменты для разработчиков (API/интеграции);По факту обновлений;"Публичный портал; отдельного публичного changelog может не быть — мониторим изменения страницы/документации";✅ Активен
GitHub: max-messenger;GitHub: max-messenger;https://github.com/max-messenger;high;1;Исходный код, SDK, релизы, issues;По коммитам / релизам;GitHub API: /repos/{repo}/releases, RSS-лента;✅ Активен
RuStore: MAX (ru.oneme.app);RuStore: MAX — история версий;https://www.rustore.ru/catalog/app/ru.oneme.app/versions;high;1;Версии приложения, описания обновлений;По релизам в сторе;RuStore обычно публикует «историю версий» с описанием изменений;✅ Активен
Google Play: MAX (ru.oneme.app);Google Play: MAX — описание и «Что нового»;https://play.google.com/store/apps/details?id=ru.oneme.app&hl=ru;medium;2;Официальная карточка приложения и обновления в Google Play (может отличаться от RuStore);По релизам;"HTML может быть динамическим; используем как дополнительный сигнал, RuStore — основной";⚠️ Ограничения
help.max.ru;MAX — справка/FAQ (официально);https://help.max.ru/;high;1;Официальные инструкции и справка: изменения интерфейса и функций;По факту обновлений;Иногда именно здесь фиксируются новые функции и правила;✅ Активен
VK press releases (MAX);VK — пресс-релизы (MAX и мессенджеры);https://vk.company/ru/press/releases/;high;1;Официальные пресс-релизы VK: крупные обновления, интеграции, показатели;По событиям;"Поиск по странице по ключевым словам: MAX, мессенджер, Сферум; RSS обычно нет — мониторим страницу";✅ Активен
